,GCAG Mean Temp,GISTEMP Mean Temp
2016-12-06,0.7895,0.81
2016-11-06,0.7504,0.93
2016-10-06,0.7292,0.89
2016-09-06,0.8767,0.87
2016-08-06,0.8998,0.98
2016-07-06,0.8687,0.83
2016-06-06,0.9006,0.76
2016-05-06,0.8738,0.93
2016-04-06,1.0733,1.09
2016-03-06,1.2245,1.3
2016-02-06,1.1921,1.35
2016-01-06,1.0569,1.17
2015-12-06,1.1219,1.11
2015-11-06,0.9655,1.04
2015-10-06,0.9913,1.06
2015-09-06,0.926,0.81
2015-08-06,0.8746,0.78
2015-07-06,0.8072,0.71
2015-06-06,0.8835,0.78
2015-05-06,0.8584,0.78
2015-04-06,0.7741,0.74
2015-03-06,0.8969,0.9
2015-02-06,0.8843,0.86
2015-01-06,0.8141,0.81
2014-12-06,0.8308,0.79
2014-11-06,0.6895,0.67
2014-10-06,0.7851,0.85
2014-09-06,0.7872,0.9
2014-08-06,0.7986,0.82
2014-07-06,0.6988,0.57
2014-06-06,0.7623,0.66
2014-05-06,0.7938,0.87
2014-04-06,0.8006,0.78
2014-03-06,0.7695,0.77
2014-02-06,0.48,0.51
2014-01-06,0.6936,0.73
2013-12-06,0.6981,0.67
2013-11-06,0.8293,0.81
2013-10-06,0.6787,0.69
2013-09-06,0.6857,0.78
2013-08-06,0.6605,0.66
2013-07-06,0.6662,0.59
2013-06-06,0.6838,0.65
2013-05-06,0.7141,0.61
2013-04-06,0.561,0.52
2013-03-06,0.6139,0.66
2013-02-06,0.6357,0.55
2013-01-06,0.5873,0.68
2012-12-06,0.4655,0.53
2012-11-06,0.7087,0.75
2012-10-06,0.7022,0.78
2012-09-06,0.7266,0.76
2012-08-06,0.6694,0.63
2012-07-06,0.6884,0.57
2012-06-06,0.7039,0.62
2012-05-06,0.7221,0.76
2012-04-06,0.7335,0.69
2012-03-06,0.5218,0.58
2012-02-06,0.4235,0.49
2012-01-06,0.4228,0.46
2011-12-06,0.5485,0.54
2011-11-06,0.4857,0.56
2011-10-06,0.6349,0.66
2011-09-06,0.5998,0.56
2011-08-06,0.616,0.73
2011-07-06,0.6282,0.73
2011-06-06,0.6465,0.59
2011-05-06,0.5741,0.53
2011-04-06,0.6522,0.65
2011-03-06,0.5915,0.64
2011-02-06,0.4976,0.53
2011-01-06,0.4706,0.51
2010-12-06,0.4894,0.49
2010-11-06,0.7682,0.79
2010-10-06,0.6268,0.71
2010-09-06,0.5724,0.61
2010-08-06,0.6595,0.65
2010-07-06,0.7287,0.62
2010-06-06,0.7339,0.64
2010-05-06,0.7582,0.75
2010-04-06,0.8287,0.87
2010-03-06,0.847,0.92
2010-02-06,0.708,0.78
2010-01-06,0.6958,0.73
2009-12-06,0.6176,0.65
2009-11-06,0.6716,0.77
2009-10-06,0.6418,0.64
2009-09-06,0.7083,0.7
2009-08-06,0.6998,0.66
2009-07-06,0.6439,0.72
2009-06-06,0.6741,0.65
2009-05-06,0.5868,0.65
2009-04-06,0.6539,0.61
2009-03-06,0.5794,0.53
2009-02-06,0.5679,0.53
2009-01-06,0.5955,0.62
2008-12-06,0.5635,0.54
2008-11-06,0.6703,0.66
2008-10-06,0.669,0.67
2008-09-06,0.5318,0.65
2008-08-06,0.5594,0.44
2008-07-06,0.5796,0.6
2008-06-06,0.5314,0.48
2008-05-06,0.5011,0.51
2008-04-06,0.4827,0.53
2008-03-06,0.7625,0.73
2008-02-06,0.3774,0.36
2008-01-06,0.2746,0.24
2007-12-06,0.4872,0.5
2007-11-06,0.5172,0.57
2007-10-06,0.567,0.6
2007-09-06,0.5775,0.64
2007-08-06,0.5509,0.6
2007-07-06,0.5286,0.62
2007-06-06,0.5374,0.58
2007-05-06,0.609,0.67
2007-04-06,0.7336,0.76
2007-03-06,0.6668,0.7
2007-02-06,0.6609,0.7
2007-01-06,0.8839,0.96
2006-12-06,0.7692,0.77
2006-11-06,0.6449,0.72
2006-10-06,0.6774,0.69
2006-09-06,0.6337,0.64
2006-08-06,0.6231,0.72
2006-07-06,0.6218,0.54
2006-06-06,0.6399,0.64
2006-05-06,0.5499,0.47
2006-04-06,0.5177,0.5
2006-03-06,0.5931,0.63
2006-02-06,0.6221,0.7
2006-01-06,0.4567,0.57
2005-12-06,0.6235,0.68
2005-11-06,0.728,0.76
2005-10-06,0.693,0.8
2005-09-06,0.6867,0.78
2005-08-06,0.6247,0.63
2005-07-06,0.6572,0.66
2005-06-06,0.6722,0.67
2005-05-06,0.6573,0.65
2005-04-06,0.7314,0.69
2005-03-06,0.6918,0.69
2005-02-06,0.5143,0.58
2005-01-06,0.6223,0.72
2004-12-06,0.5081,0.52
2004-11-06,0.7601,0.72
2004-10-06,0.6177,0.66
2004-09-06,0.5331,0.53
2004-08-06,0.5141,0.45
2004-07-06,0.4806,0.26
2004-06-06,0.4707,0.43
2004-05-06,0.4442,0.42
2004-04-06,0.594,0.62
2004-03-06,0.6964,0.64
2004-02-06,0.7232,0.71
2004-01-06,0.5979,0.59
2003-12-06,0.7361,0.75
2003-11-06,0.5784,0.55
2003-10-06,0.7271,0.75
2003-09-06,0.6412,0.66
2003-08-06,0.6202,0.66
2003-07-06,0.5408,0.55
2003-06-06,0.5381,0.49
2003-05-06,0.5954,0.62
2003-04-06,0.5601,0.55
2003-03-06,0.5702,0.57
2003-02-06,0.5626,0.55
2003-01-06,0.6907,0.73
2002-12-06,0.4366,0.43
2002-11-06,0.5918,0.59
2002-10-06,0.4773,0.57
2002-09-06,0.5661,0.65
2002-08-06,0.5359,0.55
2002-07-06,0.6229,0.62
2002-06-06,0.589,0.54
2002-05-06,0.5656,0.65
2002-04-06,0.5725,0.58
2002-03-06,0.7887,0.91
2002-02-06,0.7846,0.76
2002-01-06,0.6962,0.75
2001-12-06,0.5128,0.55
2001-11-06,0.688,0.7
2001-10-06,0.5006,0.52
2001-09-06,0.505,0.56
2001-08-06,0.6032,0.49
2001-07-06,0.5586,0.61
2001-06-06,0.5373,0.55
2001-05-06,0.5997,0.59
2001-04-06,0.5666,0.52
2001-03-06,0.6293,0.58
2001-02-06,0.3946,0.46
2001-01-06,0.472,0.44
2000-12-06,0.3192,0.3
2000-11-06,0.2557,0.34
2000-10-06,0.3027,0.3
2000-09-06,0.4384,0.42
2000-08-06,0.4557,0.43
2000-07-06,0.3919,0.42
2000-06-06,0.4076,0.44
2000-05-06,0.4657,0.4
2000-04-06,0.6311,0.59
2000-03-06,0.5561,0.6
2000-02-06,0.5439,0.58
2000-01-06,0.3467,0.26
1999-12-06,0.5779,0.46
1999-11-06,0.3688,0.42
1999-10-06,0.3773,0.43
1999-09-06,0.3976,0.43
1999-08-06,0.3695,0.34
1999-07-06,0.4029,0.41
1999-06-06,0.4203,0.37
1999-05-06,0.4086,0.33
1999-04-06,0.459,0.34
1999-03-06,0.3702,0.34
1999-02-06,0.6733,0.66
1999-01-06,0.5007,0.48
1998-12-06,0.5796,0.56
1998-11-06,0.4132,0.5
1998-10-06,0.4965,0.47
1998-09-06,0.5271,0.45
1998-08-06,0.6816,0.68
1998-07-06,0.7358,0.71
1998-06-06,0.6657,0.78
1998-05-06,0.6679,0.71
1998-04-06,0.7358,0.64
1998-03-06,0.6396,0.63
1998-02-06,0.866,0.9
1998-01-06,0.6042,0.61
1997-12-06,0.6302,0.6
1997-11-06,0.5865,0.66
1997-10-06,0.6487,0.64
1997-09-06,0.625,0.56
1997-08-06,0.5491,0.43
